name	maxdiscount
Admunaquax Holdings 	0.11
Klisapeficator International Company	0.00
Rehupadar Direct 	0.68
Ciptinicator Holdings 	0.02
Emtinicator WorldWide 	0.16
Upnipommower International 	0.53
Grocadollan International 	0.30
Winglibplazz International Corp.	0.57
Surwerpower WorldWide Group	0.77
Qwihupor Direct Group	0.38
Truglibazz Direct 	0.56
Tupwerpin WorldWide 	0.06
Upwerefower International 	0.44
Incadex  	0.73
Zeejubex WorldWide 	0.19
Surdimazz Holdings 	0.45
Thruvenommazz  Group	0.36
Partinax Direct Company	0.25
Rapjubover Holdings 	0.35
Zeemunilover Holdings Group	0.41
Tiphupex Direct 	0.51
Monpickex  Group	0.70
Uptanover Holdings Company	0.80
Klirobentor  	0.73
Thrusipupistor Direct 	0.78
Tupkilplower Direct 	0.55
Thrucadantor WorldWide 	0.50
Varkilantor International 	0.60
Rerobazz  	0.58
Surzapax  	0.86
Grorobewistor Holdings 	0.48
Rapweror  	0.88
Thrupebonor  	0.37
Dopkilamantor  Corp.	0.42
Remunegan Holdings 	0.48
Winsapicator International 	0.78
Parpebefex  	0.66
Monpickedgazz International 	0.69
Surdimicator  	0.66
Dopnipicar  	0.81
Endglibupentor Holdings Group	0.41
Endsipazz  Corp.	0.00
Endbanimex International Corp.	0.22
Hapcadax Holdings Inc	0.01
Qwiwerpantor Holdings Company	0.68
Hapkilantor  	0.31
Tipwerimentor Holdings 	0.29
Suprobefax WorldWide Company	0.71
Grotinackover WorldWide 	0.63
Lomquestadan International 	0.32
Klikilar Holdings 	0.59
Supfropicicator Direct Corp.	0.65
Emnipentor Holdings 	0.79
Varbanonicator  	0.18
Untumicator WorldWide Corp.	0.83
Vartanazz International 	0.40
Varerax Holdings Corp.	0.19
Truhupor Direct 	0.33
Surerommazz International Company	0.24
Suptumepor Holdings 	0.61
Thrujubepazz International Company	0.02
Varjubower  Corp.	0.36
Dopjubupicator  	0.07
Inrobentor WorldWide 	0.83
Uptumicator WorldWide 	0.90
Grosipover Direct 	0.67
Zeeerinar Direct 	0.68
Qwivenover Holdings Corp.	0.01
Truzapazz Direct 	0.25
Winglibower  Company	0.15
Parquestower  	0.78
Remunedicator  	0.66
Untumepantor  	0.58
Cipsipover Direct Inc	0.54
Upweror WorldWide Corp.	0.55
Inrobin International 	0.50
Winquestedgazz  Inc	0.48
Indudedgan Holdings 	0.79
Haprobex  Group	0.79
Dopkilaquazz  Group	0.47
Tuperar Direct 	0.26
Inwerpanistor Holdings 	0.79
Lomglibower Holdings 	0.30
Grojubax  Inc	0.26
Windimax WorldWide Corp.	0.34
Rapjubepower WorldWide 	0.82
Redudefazz International Corp.	0.08
Barmunar WorldWide 	0.19
Thrutinegin Direct 	0.45
Parwerentor International 	0.08
Zeenipentor  	0.58
Parpickommax  Group	0.71
Supquestar Holdings Corp.	0.45
Dopsipentor Direct Corp.	0.05
Tupericator International 	0.78
Supzapollex  	0.05
Empickopentor Holdings 	0.02
Cippebollower WorldWide 	0.38
Winpickopantor WorldWide 	0.11
Lomwerpan Holdings 	0.26
Haphupazz Direct 	0.62
Frofropentor Holdings 	0.27
Tupkilor International Inc	0.46
Qwidimommazz Holdings Corp.	0.47
Tippebantor Direct Company	0.53
Tipfropaquin Holdings Company	0.24
Adbanonover  	0.07
Rewerpedan WorldWide Group	0.25
Dopveninentor Holdings 	0.62
Surwerazz International 	0.46
Groglibexan International 	0.11
Zeepickamower WorldWide Company	0.40
Parfropazz Direct 	0.15
Rapglibonazz  	0.77
Qwiweran  	0.35
Upkilex Holdings 	0.23
Endpickaquower International 	0.05
Cipsapentor International 	0.72
Dopnipaquistor  	0.49
Surmunamex WorldWide 	0.07
Varpickex  	0.58
Inpickefax  	0.49
Varcadewicator  	0.56
Dopnipan WorldWide Company	0.17
Emrobackicator  	0.56
Endjubor Holdings Corp.	0.07
Barsipegistor  Company	0.20
Emtanentor WorldWide 	0.53
Qwidimower International 	0.76
Rapdimplower  	0.50
Barbanedgex Direct 	0.48
Froroban  	0.09
Upkilex WorldWide Group	0.68
Incadan International 	0.53
Hapfropentor International Group	0.84
Refropackentor Direct Company	0.71
Trupebeficator Direct Company	0.33
Emwerpentor Direct Corp.	0.83
Unwerpilax Holdings Group	0.72
Surcadinin International 	0.40
Remunar International 	0.75
Zeevenefazz Direct 	0.83
Lomtumador WorldWide Inc	0.57
Frofropopicator Direct 	0.52
Upsapedgantor Direct 	0.15
Tuppickin  	0.18
Winpebewan WorldWide Group	0.55
Tipsapentor Holdings Corp.	0.68
Hapweristor Holdings 	0.69
Klisapefower International 	0.55
Rehupan Holdings Company	0.49
Lombanex WorldWide 	0.29
Qwijubackicator WorldWide Company	0.88
Lomdudicator International 	0.03
Lomsapimor WorldWide 	0.67
Haperax Direct 	0.13
Zeenipantor  Inc	0.70
Monnipistor  	0.29
Uprobar  	0.88
Frojubupax  Corp.	0.46
Parquestilicator WorldWide Corp.	0.72
Raperin Holdings Company	0.53
Tuppebinistor WorldWide 	0.49
Adpickegentor Holdings 	0.12
Varwerin International Corp.	0.24
Monzapupin Direct Company	0.82
Haptanegax Holdings 	0.72
Tuptumex  	0.00
Adpickover International 	0.62
Rapbanollax Holdings Corp.	0.37
Recadamentor WorldWide 	0.36
Emcadentor International 	0.89
Klifropegex  Company	0.22
Tipfropefax  	0.00
Dopsipantor International 	0.09
Emsapower WorldWide 	0.31
Barvenantor  	0.75
Endzapimistor  	0.23
Klijubar Holdings 	0.57
Winsipexar WorldWide 	0.01
Winmunepar  	0.38
Supkilistor Direct Company	0.52
Renipin  	0.52
Winbanower WorldWide Corp.	0.83
Parpebewax International 	0.20
Barpickepex International Inc	0.50
Thruquestegazz  Company	0.18
Intanimax International Company	0.20
Klisipor  	0.64
Klimunegex Holdings Inc	0.86
Superinentor International 	0.71
Thruvenor  	0.28
Rapsipefar Direct Company	0.04
Tupvenan International 	0.05
Empebupazz Direct 	0.26
Windudantor International Inc	0.67
Tiptinar  Inc	0.21
Unwerpegicator WorldWide 	0.34
Ciptumicover Holdings 	0.44
Parwerupor  Corp.	0.00
Truerefar International 	0.33
Monpickar International Corp.	0.00
Inglibor International 	0.45
Suppickor  	0.45
Lomcadar  Corp.	0.75
Ciperepazz Direct Inc	0.33
Haptanepin  	0.65
Lomtumower Holdings Corp.	0.77
Retumopicator International 	0.29
Tipsapopex WorldWide 	0.79
Qwizaponover  	0.72
Inpebepantor Direct Company	0.32
Bartinex Direct 	0.21
