productid	name	Manufacturer	retailprice	categories
1	Zeejubin	Bartanefin International 	258.36	Scanner,Video Game
2	Varpickilower	Frojubupax  Corp.	314.78	Air Conditioner,Dryer
3	Unwerplar	Emjubex International Corp.	256.45	Recording Equipment,Satellite Radio,Speaker
4	Parfropollin	Surjubackar International 	472.04	Camera
5	Inkilentor	Monhupefantor WorldWide 	180.03	GPS,Microwave,Video Game
6	Haphupentor	Thruvenommazz  Group	203.67	Air Purifier,Battery
7	Rapsipover	Upnipommower International 	236.80	Bluray,DVD
8	Tupdimower	Parquestan WorldWide 	260.15	Dryer
9	Gronipicistor	Ciptinefar  Inc	14.12	DVD,Video Game
10	Trumunentor	Hapcadax Holdings Inc	110.32	MP3 Player
11	Rapdudollistor	Partanommentor  	325.25	Computer,TV
12	Surhupin	Emvenanor WorldWide 	95.75	Scanner
13	Resapollan	Intinicower  	328.72	MP3 Player
14	Fromunan	Tipjubepover  	350.20	Printer,Tool
15	Doperimax	Vartanazz International 	390.43	TV
16	Barglibin	Tippebex International 	422.75	Printer
17	Emtanicazz	Zeebanar  	418.61	Camera Lens,CD
18	Uncadar	Surdimicator  	195.87	TV
19	Trutumplex	Inwerepor  Company	386.15	Camera,Computer
20	Recadicentor	Rezapupar Direct Company	287.23	Projector
21	Supdimantor	Kliwerpor International Company	249.83	Recording Equipment
22	Montanefistor	Unsipexar WorldWide 	456.17	Refridgerator,Speaker
23	Lomtumefower	Tupkilexower Direct 	379.16	Refridgerator,Washer
24	Zeewerpegazz	Undudupar  Inc	421.45	Microwave,Phone,Video Game
25	Suppebistor	Montanar Holdings Company	201.05	Fax,Washer
26	Barhupadan	Truglibazz Direct 	75.09	Camera,CD
27	Tupzapinar	Unrobexower  Corp.	224.96	Dryer
28	Supwerpin	Varcadewicator  	139.07	Microwave,Satellite Radio
29	Parrobommar	Inpebepantor Direct Company	497.00	Phone
30	Kliglibplan	Rehupommantor Holdings Corp.	255.18	Camera,CD
31	Cipzapplistor	Parquestor  Corp.	96.57	MP3 Player,Satellite Radio
32	Inkililantor	Partinazz  	41.04	Camera
33	Emkilegover	Tipfropaquin Holdings Company	263.48	Microwave,Washer
34	Unpickantor	Raperin Holdings Company	372.71	Microwave,Video Game
35	Wintinan	Unwerpedgower  Inc	127.46	Phone
36	Thruzapantor	Indudedgan Holdings 	248.77	Camera Lens,Computer,Phone
37	Varhupadover	Thruquestistor Holdings Inc	148.16	Fax,Projector,Recording Equipment
38	Doptinan	Frorobex Holdings Group	364.04	Computer
39	Dopbanplover	Lomwerpan Holdings 	110.45	Video Game
40	Qwiweran	Emcadentor International 	53.66	Battery,GPS
41	Supdimazz	Qwicadegazz Holdings Group	442.64	GPS,Tool
42	Endbanin	Unmunexover Holdings 	356.73	Speaker,Tool
43	Repickaquax	Supsipplower  	205.98	Printer
44	Zeerobex	Adcadackor Direct Company	330.01	Camera
45	Tiptumegicator	Cipwerpower WorldWide Company	95.34	GPS
46	Supquestegistor	Inrobicator Holdings Group	491.57	Air Purifier,Battery,TV
47	Adsapupicator	Tuperepan WorldWide 	362.34	Car Audio,Microwave
48	Grotumommover	Varkilantor International 	391.06	Air Conditioner,Printer,Refridgerator
49	Winzapefor	Thrujubepazz International Company	305.75	Air Purifier,Camera
50	Cipglibin	Frojubaman Holdings 	437.98	Camera,GPS,Recording Equipment
51	Recadex	Varwerilicator  	208.65	CD
52	Endvenefover	Tipsapazz  	121.25	Bluray,Phone,Satellite Radio
