manufacturer_name,max_discount
manufacturer_name_test_0,0.0
manufacturer_name_test_1,0.01
manufacturer_name_test_2,0.02
manufacturer_name_test_3,0.03
manufacturer_name_test_4,0.04
manufacturer_name_test_5,0.05
manufacturer_name_test_6,0.06
manufacturer_name_test_7,0.07
manufacturer_name_test_8,0.08
manufacturer_name_test_9,0.09
manufacturer_name_test_10,0.1
manufacturer_name_test_11,0.11
manufacturer_name_test_12,0.12
manufacturer_name_test_13,0.13
manufacturer_name_test_14,0.14
manufacturer_name_test_15,0.15
manufacturer_name_test_16,0.16
manufacturer_name_test_17,0.17
manufacturer_name_test_18,0.18
manufacturer_name_test_19,0.19
Media,0.1
Gree,0.15
Hair,0.2
