PID,product_name,retail_price,manufacturer_name
1,winnie-the-pooh,20.34,manufacturer_name_test_0
2,stitch,18.88,manufacturer_name_test_1
3,duffy,25.00,manufacturer_name_test_2
4,baby yoda,17.43,manufacturer_name_test_3
5,snowball,23.54,manufacturer_name_test_4
6,The Nightingale,12.00,manufacturer_name_test_5
7,The Great Alone,10.98,manufacturer_name_test_6
8,Born A Crime,9.87,manufacturer_name_test_7
9,Educated,13.24,manufacturer_name_test_8
10,Bel Canto,4.56,manufacturer_name_test_9
11,The Room Where It Happened,9.45,manufacturer_name_test_10
12,Station Eleven,11.20,manufacturer_name_test_11
13,On Earth We're Briefly Gorgeous,12.63,manufacturer_name_test_12
14,An Unwanted Guest,12.78,manufacturer_name_test_13
15,The Vanishing Half,16.20,manufacturer_name_test_14
16,The Memory Police,14.17,manufacturer_name_test_15
17,What the Wind Knows,5.49,manufacturer_name_test_16
18,Gree Cooling King,1399,Gree
19,Media Cooling Queen,1299,Media
20,Hair Cooling Prince,1199,Hair

